,dataset_year,wav_path,hive_id,recording_start_dt,chunk_idx,chunk_start_s,chunk_end_s,chunk_start_dt,chunk_end_dt,inspection_date,frames_of_bees,hive_state,queen_present,varroa_high,days_since_inspection
0,2022,/home/ryan/Documents/hms-inference/data/UrBAN/data/audio/beehives_2022/05-01-2022_15h45_HIVE-3631.wav,3631,2022-01-05 15:45:00,0,0.0,10.0,2022-01-05 15:45:00+00:00,2022-01-05 15:45:10,,,,,,
1,2022,/home/ryan/Documents/hms-inference/data/UrBAN/data/audio/beehives_2022/05-01-2022_15h45_HIVE-3631.wav,3631,2022-01-05 15:45:00,1,5.0,15.0,2022-01-05 15:45:05+00:00,2022-01-05 15:45:15,,,,,,
2,2022,/home/ryan/Documents/hms-inference/data/UrBAN/data/audio/beehives_2022/05-01-2022_15h45_HIVE-3631.wav,3631,2022-01-05 15:45:00,2,10.0,20.0,2022-01-05 15:45:10+00:00,2022-01-05 15:45:20,,,,,,
3,2022,/home/ryan/Documents/hms-inference/data/UrBAN/data/audio/beehives_2022/05-01-2022_15h45_HIVE-3631.wav,3631,2022-01-05 15:45:00,3,15.0,25.0,2022-01-05 15:45:15+00:00,2022-01-05 15:45:25,,,,,,
4,2022,/home/ryan/Documents/hms-inference/data/UrBAN/data/audio/beehives_2022/05-01-2022_15h45_HIVE-3631.wav,3631,2022-01-05 15:45:00,4,20.0,30.0,2022-01-05 15:45:20+00:00,2022-01-05 15:45:30,,,,,,
5,2022,/home/ryan/Documents/hms-inference/data/UrBAN/data/audio/beehives_2022/06-01-2022_15h15_HIVE-3631.wav,3631,2022-01-06 15:15:00,0,0.0,10.0,2022-01-06 15:15:00+00:00,2022-01-06 15:15:10,,,,,,
6,2022,/home/ryan/Documents/hms-inference/data/UrBAN/data/audio/beehives_2022/06-01-2022_15h15_HIVE-3631.wav,3631,2022-01-06 15:15:00,1,5.0,15.0,2022-01-06 15:15:05+00:00,2022-01-06 15:15:15,,,,,,
7,2022,/home/ryan/Documents/hms-inference/data/UrBAN/data/audio/beehives_2022/06-01-2022_15h15_HIVE-3631.wav,3631,2022-01-06 15:15:00,2,10.0,20.0,2022-01-06 15:15:10+00:00,2022-01-06 15:15:20,,,,,,
8,2022,/home/ryan/Documents/hms-inference/data/UrBAN/data/audio/beehives_2022/06-01-2022_15h15_HIVE-3631.wav,3631,2022-01-06 15:15:00,3,15.0,25.0,2022-01-06 15:15:15+00:00,2022-01-06 15:15:25,,,,,,
9,2022,/home/ryan/Documents/hms-inference/data/UrBAN/data/audio/beehives_2022/06-01-2022_15h15_HIVE-3631.wav,3631,2022-01-06 15:15:00,4,20.0,30.0,2022-01-06 15:15:20+00:00,2022-01-06 15:15:30,,,,,,
10,2022,/home/ryan/Documents/hms-inference/data/UrBAN/data/audio/beehives_2022/06-01-2022_19h15_HIVE-3690.wav,3690,2022-01-06 19:15:00,0,0.0,10.0,2022-01-06 19:15:00+00:00,2022-01-06 19:15:10,,,,,,
11,2022,/home/ryan/Documents/hms-inference/data/UrBAN/data/audio/beehives_2022/06-01-2022_19h15_HIVE-3690.wav,3690,2022-01-06 19:15:00,1,5.0,15.0,2022-01-06 19:15:05+00:00,2022-01-06 19:15:15,,,,,,
12,2022,/home/ryan/Documents/hms-inference/data/UrBAN/data/audio/beehives_2022/06-01-2022_19h15_HIVE-3690.wav,3690,2022-01-06 19:15:00,2,10.0,20.0,2022-01-06 19:15:10+00:00,2022-01-06 19:15:20,,,,,,
13,2022,/home/ryan/Documents/hms-inference/data/UrBAN/data/audio/beehives_2022/06-01-2022_19h15_HIVE-3690.wav,3690,2022-01-06 19:15:00,3,15.0,25.0,2022-01-06 19:15:15+00:00,2022-01-06 19:15:25,,,,,,
14,2022,/home/ryan/Documents/hms-inference/data/UrBAN/data/audio/beehives_2022/06-01-2022_19h15_HIVE-3690.wav,3690,2022-01-06 19:15:00,4,20.0,30.0,2022-01-06 19:15:20+00:00,2022-01-06 19:15:30,,,,,,
15,2022,/home/ryan/Documents/hms-inference/data/UrBAN/data/audio/beehives_2022/06-01-2022_22h00_HIVE-3692.wav,3692,2022-01-06 22:00:00,0,0.0,10.0,2022-01-06 22:00:00+00:00,2022-01-06 22:00:10,,,,,,
16,2022,/home/ryan/Documents/hms-inference/data/UrBAN/data/audio/beehives_2022/06-01-2022_22h00_HIVE-3692.wav,3692,2022-01-06 22:00:00,1,5.0,15.0,2022-01-06 22:00:05+00:00,2022-01-06 22:00:15,,,,,,
